weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2023-07-01,5.8 km,West Uttar Pradesh
Mean Sea Level Trough,2023-07-01,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Nagaland, Manipur, Mizoram & Tripura"
Trough,2023-07-01,3.1 km to 5.8 km,West Uttar Pradesh ; East Rajasthan ; Gujarat Region ; NE Arabian Sea
Offshore Trough,2023-07-01,Surface,Saurashtra & Kutch ; Konkan & Goa ; Madhya Maharashtra ; Kerala
Western Disturbances (WD),2023-07-01,5.8 km,Jammu & Kashmir ; Konkan & Goa ; Coastal Karnataka ; Punjab ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2023-07-01,4.5 km to 5.8 km,SW Bay ; SE Bay ; WC Bay
Cyclonic Circulation (CYCIR),2023-07-04,3.1 km,West Uttar Pradesh ; East Uttar Pradesh
Offshore Trough,2023-07-04,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala
Cyclonic Circulation (CYCIR),2023-07-04,1.5 km to 7.6 km,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2023-07-04,3.1 km,Gujarat Region
Cyclonic Circulation (CYCIR),2023-07-05,3.1 km,West Uttar Pradesh ; East Uttar Pradesh
Offshore Trough,2023-07-05,Surface,Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),2023-07-05,1.5 km to 7.6 km,NW Bay ; WC Bay ; EC Bay
Western Disturbances (WD),2023-07-05,5.8 km,West Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2023-07-05,1.5 km,North pakistan ; Punjab
Offshore Trough,2023-07-06,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),2023-07-06,1.5 km to 7.6 km,Gangetic West Bengal ; Odisha
Western Disturbances (WD),2023-07-06,5.8 km,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2023-07-06,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2023-07-06,3.1 km,NE Arabian Sea ; Gujarat Region
Monsoon Trough with Extension and Tilt,2023-07-08,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; NW Bay
Offshore Trough,2023-07-08,Surface,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),2023-07-08,5.8 km,West Rajasthan
Western Disturbances (WD),2023-07-08,5.8 km,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
